Dataset,Original_file_name,Distorted_file_name,Width_original,Height_original,Width,Height,Bitrate,Video_codec,FPS,Duration,MOS,CI,Computed_Mos,temporal_pooling,vmaf_v0.6.1,vmaf_v0.6.1neg,vmaf_float_v0.6.1,vmaf_float_v0.6.1neg,vmaf_float_b_v0.6.3,vmaf_b_v0.6.3,vmaf_float_4k_v0.6.1,vmaf_4k_v0.6.1,vmaf_4k_v0.6.1neg,cambi,float_ssim,psnr_y,psnr_cb,psnr_cr,float_ms_ssim,ciede2000,psnr_hvs_y,psnr_hvs_cb,vmaf_float_b_v0.6.3_bagging,vmaf_float_b_v0.6.3_stddev,vmaf_float_b_v0.6.3_ci_p95_lo,vmaf_float_b_v0.6.3_ci_p95_hi,vmaf_b_v0.6.3_bagging,vmaf_b_v0.6.3_stddev,vmaf_b_v0.6.3_ci_p95_lo,vmaf_b_v0.6.3_ci_p95_hi
GamingVideoSet1,CSGO_30fps_30sec_Part2.yuv,CSGO_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.13,-1,-1,mean,81.22755809222222,79.4087781811111,81.23240854666668,79.42266399,79.8242105477778,79.81930271777777,89.8363049877778,89.83246191333335,88.48807350555555,2.918772174444444,0.9687612733333332,35.24597117888889,43.89581905777778,45.16292251666667,0.9613357822222222,38.30678405111111,33.548355674444444,40.65639885555555,79.94787328666666,1.770198787777778,76.93668991777777,83.01145272444444,79.94349689222223,1.770436458888889,76.9319200911111,83.00782652444444
GamingVideoSet1,CSGO_30fps_30sec_Part2.yuv,CSGO_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.13,-1,-1,harmonic_mean,79.28969071137273,77.45756298022636,79.29452985769674,77.47044435529496,77.84038172457942,77.8354899968319,89.3501587061487,89.34631421598833,87.9980940747015,1.044845018931253,0.9683592916455984,34.73060021158275,43.67070888284125,44.973893386801656,0.96080937244812,37.88439445000321,32.88833306919432,40.40462706621357,78.15345961067709,1.639224445030691,75.0381554581384,81.39177383338091,78.14909451430081,1.6394738943876583,75.03378418623475,81.3878688921295
GamingVideoSet1,CSGO_30fps_30sec_Part2.yuv,CSGO_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.13,-1,-1,geometric_mean,80.33571156058282,78.51001897225306,80.34056782325848,78.5234517005059,78.90890166048666,78.90398992070216,89.60036877040912,89.59652159840068,88.24969634315917,1.029894473200096,0.9683476920926508,34.98436280925491,43.781583716354845,45.06640127426323,0.960791953994897,38.09151424255612,33.2144145576688,40.52824821961004,79.11758331262624,0.0,76.06849885703049,82.25189716143296,79.11320181940995,0.0,76.06390490878817,82.24813306651063
GamingVideoSet1,CSGO_30fps_30sec_Part2.yuv,CSGO_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.13,-1,-1,total_variation,3.269516877641824,3.263755268075639,3.268988572858732,3.2644711423804225,3.194388147942158,3.1948677363737485,2.31490580756396,2.3153102269187986,2.335369116796441,0.1657893225806451,0.005640660734149,0.6038268153503895,0.217323214682981,0.212654571746385,0.0056740589543937,0.4387715773081203,0.889533958843159,0.2567309243604004,3.2031093270300337,0.2216845361512792,3.0608217552836483,3.2409900300333705,3.203588526140156,0.2216392057842046,3.061156273637375,3.2411961802002227
GamingVideoSet1,CSGO_30fps_30sec_Part2.yuv,CSGO_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.13,-1,-1,norm_lp1,81.22755809222222,79.4087781811111,81.23240854666668,79.42266399,79.8242105477778,79.81930271777777,89.8363049877778,89.83246191333335,88.48807350555555,2.918772174444444,0.9687612733333332,35.24597117888889,43.89581905777778,45.16292251666667,0.9613357822222222,38.30678405111111,33.548355674444444,40.65639885555555,79.94787328666666,1.770198787777778,76.93668991777777,83.01145272444444,79.94349689222223,1.770436458888889,76.9319200911111,83.00782652444444
GamingVideoSet1,CSGO_30fps_30sec_Part2.yuv,CSGO_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.13,-1,-1,norm_lp2,81.9793654008569,80.16716255349719,81.98419877252142,80.18142212998826,80.59798259688641,80.59309048059686,90.05434850945288,90.05051498965679,88.70939951032793,4.522132891375409,0.9691571192452576,35.498392997675914,44.0079015981499,45.25903709985144,0.9618562373721726,38.5177633725932,33.86662668866453,40.78234980720966,80.65349484551486,1.9291525258766715,77.66125426038033,83.67016516946246,80.64913506169997,1.9293492825031449,77.65634084523548,83.66666555355627
GamingVideoSet1,CSGO_30fps_30sec_Part2.yuv,CSGO_30fps_30sec_Part2_1920x1080_4000_x264.mp4,1920,1080,1920,1080,4000,x264,30,30,4.13,-1,-1,norm_lp3,82.62568994970941,80.81992466107764,82.63050028129254,80.8344988546832,81.2643345325344,81.25946409674896,90.25676806332086,90.25294856051104,88.91586192117325,5.61944257360534,0.9695364905549924,35.740578493071936,44.11764711648639,45.35455544994567,0.9623548600368476,38.72361446053507,34.16797559197064,40.90579602816703,81.2641166008821,2.1996590021225995,78.27993122546043,84.24833074627443,81.25977985263665,2.199772978010932,78.27489543616494,84.24494574812343
GamingVideoSet1,CSGO_30fps_30sec_Part2.yuv,CSGO_30fps_30sec_Part2_1920x1080_1200_x264.mp4,1920,1080,1920,1080,1200,x264,30,30,1.78,-1,-1,mean,52.108157398888885,50.618244641111104,52.11539057555555,50.62697606333335,51.57425668888889,51.56707307555555,71.75502432111111,71.74867243333333,70.61266493444444,2.40131367,0.8780968344444444,30.452898424444445,41.38575052555555,42.32704605777778,0.8796274388888888,34.049162286666665,26.99485715,37.441793366666666,52.214956508888896,2.742802816666667,48.18291764,57.41058816222222,52.20856549444445,2.74309323,48.17583003666667,57.40488849444444
GamingVideoSet1,CSGO_30fps_30sec_Part2.yuv,CSGO_30fps_30sec_Part2_1920x1080_1200_x264.mp4,1920,1080,1920,1080,1200,x264,30,30,1.78,-1,-1,harmonic_mean,47.65429363361079,46.319384676458725,47.66031809330827,46.32660620652752,47.30980775119861,47.30380017727581,70.644202767262,70.63816382862503,69.54401861588684,1.0431543249084774,0.874305347794371,29.954638921149527,41.23643887007686,42.20715606407319,0.8762085083725124,33.63776987360274,26.30842859849368,37.25519399164824,48.30994223592568,2.327776986878906,42.346026455707,54.774082512821096,48.30457202985248,2.328135763115358,42.34011309184218,54.76870358785146
GamingVideoSet1,CSGO_30fps_30sec_Part2.yuv,CSGO_30fps_30sec_Part2_1920x1080_1200_x264.mp4,1920,1080,1920,1080,1200,x264,30,30,1.78,-1,-1,geometric_mean,49.94965963134656,48.53003475557901,49.95633524356308,48.538044674295946,49.49887064687244,49.49222947631812,71.20419225761152,71.1979862348198,70.0814017025737,1.0670053484290192,0.8739411379954157,30.198427614398348,41.30992533766711,42.26571508873266,0.8758921515192447,33.83904874134039,26.64341757880939,37.34658726086728,50.31741094966986,2.4320832291578225,45.44002048675303,56.09824893610039,50.31149721846421,2.432437327541696,45.43344635129748,56.09269621243147
