Dataset,Original_file_name,Distorted_file_name,Width_original,Height_original,Width,Height,Bitrate,Video_codec,FPS,Duration,MOS,CI,Computed_Mos,temporal_pooling,vmaf_v0.6.1,vmaf_v0.6.1neg,vmaf_float_v0.6.1,vmaf_float_v0.6.1neg,vmaf_float_b_v0.6.3,vmaf_b_v0.6.3,vmaf_float_4k_v0.6.1,vmaf_4k_v0.6.1,vmaf_4k_v0.6.1neg,cambi,float_ssim,psnr_y,psnr_cb,psnr_cr,float_ms_ssim,ciede2000,psnr_hvs_y,psnr_hvs_cb,vmaf_float_b_v0.6.3_bagging,vmaf_float_b_v0.6.3_stddev,vmaf_float_b_v0.6.3_ci_p95_lo,vmaf_float_b_v0.6.3_ci_p95_hi,vmaf_b_v0.6.3_bagging,vmaf_b_v0.6.3_stddev,vmaf_b_v0.6.3_ci_p95_lo,vmaf_b_v0.6.3_ci_p95_hi
ITS4S,Broadcast_001-Bsrc11A_SRC.y4m,Broadcast_001-Bsrc11A_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,4.0,-1,4.0,mean,85.35525641666668,80.78056021874998,85.35270228125,80.79908622916668,84.39512322916667,84.39766383333334,90.16303248958332,90.16460567708332,86.67432751041667,0.2744654895833333,0.9891894895833334,35.68911582291667,45.14347820833333,45.64249777083334,0.9893239583333332,41.214347583333335,34.54011290625,40.809316385416665,83.86432721875,1.73353384375,80.40754219791667,86.43804844791667,83.86675547916667,1.7335439479166668,80.40954009375001,86.44023817708334
ITS4S,Broadcast_001-Bsrc11A_SRC.y4m,Broadcast_001-Bsrc11A_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,4.0,-1,4.0,harmonic_mean,85.26563814744328,80.68825434756026,85.26309751320314,80.70674931416396,84.31916152209048,84.32169243899968,90.13004819328698,90.13161407248955,86.6408159934382,0.2474062422133744,0.989185911325503,35.68183708393398,45.05662353006388,45.58368665980687,0.9893204732137956,41.15234501248904,34.51417659672003,40.712085464144735,83.777382579016,1.7028739165158449,80.29920777316202,86.37267122961387,83.77980216108189,1.7028907606146868,80.30117438376027,86.3748413038153
ITS4S,Broadcast_001-Bsrc11A_SRC.y4m,Broadcast_001-Bsrc11A_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,4.0,-1,4.0,geometric_mean,85.30967164665839,80.73352284194601,85.30712495330765,80.75203360751176,84.35651075769641,84.35904594702917,90.14630211598438,90.14787144976206,86.65730789322969,0.2230565035309853,0.9891858920949456,35.68534429573037,45.09794722933832,45.61195488594237,0.9893204548026596,41.18239536327161,34.52657118639139,40.75841532699105,83.82009099547744,1.7091192137758184,80.35232933932299,86.40482826408693,83.82251428298332,1.7091349254144124,80.35431090429046,86.40700749498686
ITS4S,Broadcast_001-Bsrc11A_SRC.y4m,Broadcast_001-Bsrc11A_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,4.0,-1,4.0,total_variation,2.1806766000000004,2.10306547368421,2.1806083052631573,2.104989642105262,2.077732589473684,2.077863810526315,1.4534810315789477,1.4537747157894736,1.3990548631578936,0.0524689052631578,0.0012238736842105,0.3050286947368421,0.282023568421053,0.3333061157894738,0.0009911263157894,0.3451790210526314,0.5028878210526313,0.3026317684210531,2.101859421052633,0.1327851789473684,2.057346305263156,2.069794168421052,2.10194747368421,0.1332736842105263,2.0571874631578955,2.0700831578947363
ITS4S,Broadcast_001-Bsrc11A_SRC.y4m,Broadcast_001-Bsrc11A_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,4.0,-1,4.0,norm_lp1,85.35525641666668,80.78056021874998,85.35270228125,80.79908622916668,84.39512322916667,84.39766383333334,90.16303248958332,90.16460567708332,86.67432751041667,0.2744654895833333,0.9891894895833334,35.68911582291667,45.14347820833333,45.64249777083334,0.9893239583333332,41.214347583333335,34.54011290625,40.809316385416665,83.86432721875,1.73353384375,80.40754219791667,86.43804844791667,83.86675547916667,1.7335439479166668,80.40954009375001,86.44023817708334
ITS4S,Broadcast_001-Bsrc11A_SRC.y4m,Broadcast_001-Bsrc11A_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,4.0,-1,4.0,norm_lp2,85.40134617996262,80.82823385111256,85.3987832136517,80.84677438157631,84.43410163757066,84.43664881654621,90.17987603954228,90.18145343183863,86.69149251157025,0.3475241052151545,0.9891930883635291,35.69295439042751,45.1915701633263,45.67412885961696,0.9893274634333564,41.24669641748689,34.55410254072219,40.86267065570176,83.90905838215595,1.7581404807255487,80.46350084106327,86.47158244356808,83.91149293266466,1.7581512865192226,80.465516263124,86.47378388712896
ITS4S,Broadcast_001-Bsrc11A_SRC.y4m,Broadcast_001-Bsrc11A_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,4.0,-1,4.0,norm_lp3,85.44792715727279,80.87653038231737,85.44535388360976,80.89508469433196,84.47343616650117,84.47599114734449,90.19683171670916,90.19841368076756,86.70880237323985,0.4300861089841159,0.9891966884204176,35.69686146147861,45.242348753447246,45.70688576656056,0.9893309700871936,41.27941135839083,34.56855731764475,40.918582306181655,83.95427093414918,1.7829393537984903,80.52017882349347,86.5054270774353,83.95671317146153,1.7829583436448309,80.52221310607433,86.5076414940681
ITS4S,Broadcast_003-Bsrc11B_SRC.y4m,Broadcast_003-Bsrc11B_1732K.mp4,1024,576,1280,720,1732K,x264,23.976,4.004,4.26923076923077,-1,4.269230769230769,mean,93.97247001041669,91.05332857291668,93.97014295833334,91.07295122916666,93.49026503125,93.49256691666668,96.11716878125,96.118701625,93.8102185625,0.6943399895833333,0.99758446875,41.287816604166665,47.654227114583335,47.111322093750005,0.9972667604166668,46.95791653125,42.32788546875,45.655091364583335,92.8497636875,3.1088396041666666,85.26877599999999,97.285476625,92.85192726041667,3.108898020833333,85.27069392708334,97.28763688541665
ITS4S,Broadcast_003-Bsrc11B_SRC.y4m,Broadcast_003-Bsrc11B_1732K.mp4,1024,576,1280,720,1732K,x264,23.976,4.004,4.26923076923077,-1,4.269230769230769,harmonic_mean,93.9266103659541,91.00727913498882,93.9242655043132,91.02695437250247,93.45033650848956,93.45264155686456,96.10401069149395,96.10553907838936,93.79741336417564,0.6038945594967646,0.99758441792613,41.28436002673824,47.64826030936874,47.10345724658635,0.9972667158527724,46.95252207779583,42.31896425571221,45.64657904995082,92.80602692099109,3.099996554765765,85.20335507676396,97.26133852905885,92.8081965207178,3.100050342263189,85.20527843323202,97.26352333238684
ITS4S,Broadcast_003-Bsrc11B_SRC.y4m,Broadcast_003-Bsrc11B_1732K.mp4,1024,576,1280,720,1732K,x264,23.976,4.004,4.26923076923077,-1,4.269230769230769,geometric_mean,93.94915022717834,91.02988419706784,93.94681406340702,91.04953391465496,93.46996410335969,93.47226753257044,96.11050277487662,96.11203335520425,93.80373000215502,0.5866750936552388,0.9975844178651164,41.28604878231349,47.65117147674786,47.10730124146816,0.9972667157923252,46.95515788254559,42.3233148791038,45.65071762638219,92.827511896515,3.1030015927470176,85.23536828864364,97.27326569855992,92.82967846572498,3.103057035875535,85.23728881640741,97.27543851426582
